Key,Date,Open,High,Low,Close,Adj Close,Volume
BILI,5/24/2018,14.35,15.49,13.45,13.85,13.85,16603700
BILI,5/25/2018,13.86,14.44,13.85,14.24,14.24,3624500
BILI,5/29/2018,14.3,15.189,14.22,15.03,15.03,4145300
BILI,5/30/2018,15.2,16.884001,15.19,16.67,16.67,6639700
BILI,5/31/2018,17.129999,17.709999,15,16.23,16.23,10142000
BILI,6/1/2018,16.51,17.200001,15.87,16.91,16.91,4287600
BILI,6/4/2018,17.4,18.155001,16.25,16.43,16.43,5657600
BILI,6/5/2018,16.48,16.74,15.6,16.709999,16.709999,4193100
BILI,6/6/2018,16.940001,16.959999,16.141001,16.57,16.57,2725700
BILI,6/7/2018,16.559999,16.790001,16.049999,16.219999,16.219999,1983600
BILI,6/8/2018,16.1,19.35,15.85,18.950001,18.950001,10538300
BILI,6/11/2018,19.01,19.35,17.360001,18.42,18.42,11994900
BILI,6/12/2018,18.620001,19.1,17.6,18.66,18.66,7313900
BILI,6/13/2018,18.780001,20.24,18.5,20.07,20.07,10175900
BILI,6/14/2018,20.690001,22.700001,19.6,20.5,20.5,19542000
BILI,6/15/2018,20.575001,21.35,18.82,19.65,19.65,14056800
BILI,6/18/2018,19.35,21.66,18.950001,21.280001,21.280001,10162500
BILI,6/19/2018,20.799999,21.25,19.08,19.18,19.18,10723700
BILI,6/20/2018,20.040001,20.290001,18.5,18.540001,18.540001,8227700
BILI,6/21/2018,18.5,18.540001,16,16.440001,16.440001,13195500
BILI,6/22/2018,16.52,16.879999,15.38,16.65,16.65,8722300
BILI,6/25/2018,15.67,16.190001,14.8,15.36,15.36,8813300
BILI,6/26/2018,15.95,16.530001,15.51,15.85,15.85,7155400
BILI,6/27/2018,16.209999,16.299999,13.89,13.9,13.9,9576000
BILI,6/28/2018,13.5,14.9,13.31,14.5,14.5,7180500
BILI,6/29/2018,14.9,14.9,13.82,13.99,13.99,6025800
BILI,7/2/2018,13.24,13.64,12.97,13.36,13.36,7243900
BILI,7/3/2018,13.54,14.09,13.12,13.8,13.8,3656400
BILI,7/5/2018,14,14.1,12.88,12.9,12.9,6617300
BILI,7/6/2018,12.51,13.37,12.5,13.3,13.3,6019300
BILI,7/9/2018,13.66,14.08,13.285,13.85,13.85,9256500
BILI,7/10/2018,13.47,13.97,13.13,13.26,13.26,6777500
BILI,7/11/2018,12.96,13.53,12.76,12.78,12.78,7441200
BILI,7/12/2018,13.2,14.4,12.95,14.26,14.26,11804400
BILI,7/13/2018,14.5,14.69,13.5,13.8,13.8,9513200
BILI,7/16/2018,13.72,14.25,13.28,13.8,13.8,8538200
BILI,7/17/2018,13.42,14.15,13.1,13.69,13.69,6857100
BILI,7/18/2018,13.95,14.99,13.9,14.43,14.43,10267600
BILI,7/19/2018,14.43,15.08,13.8,13.92,13.92,10799300
BILI,7/20/2018,13.96,14.71,13.82,14.41,14.41,6371200
BILI,7/23/2018,14.41,14.7,13.636,14.18,14.18,4917200
BILI,7/24/2018,14.4,14.77,13.65,13.92,13.92,6209200
BILI,7/25/2018,13.77,13.95,13.13,13.36,13.36,9249400
BILI,7/26/2018,12.8,13.15,12.66,12.77,12.77,6985700
BILI,7/27/2018,13.1,13.1,12,12.13,12.13,6568300
BILI,7/30/2018,11.3,12,11.05,11.59,11.59,6687400
BILI,7/31/2018,11.5,12.25,11.35,11.71,11.71,3235500
BILI,8/1/2018,11.66,11.73,11.16,11.33,11.33,3789400
