Key,Date,Open,High,Low,Close,Adj Close,Volume
BDRY,8/23/2018,25.374001,25.450001,25.374001,25.450001,25.450001,300
BDRY,8/24/2018,25.434999,25.434999,25.434999,25.434999,25.434999,200
BDRY,8/27/2018,25.434999,25.434999,25.434999,25.434999,25.434999,0
BDRY,8/28/2018,25.434999,25.434999,25.434999,25.434999,25.434999,0
BDRY,8/29/2018,25.434999,25.434999,25.434999,25.434999,25.434999,0
BDRY,8/30/2018,25.434999,25.434999,25.434999,25.434999,25.434999,0
BDRY,8/31/2018,25.434999,25.434999,25.434999,25.434999,25.434999,0
BDRY,9/4/2018,24.559999,24.559999,24.559999,24.559999,24.559999,200
BDRY,9/5/2018,24.559999,24.559999,24.559999,24.559999,24.559999,0
BDRY,9/6/2018,24.559999,24.559999,24.559999,24.559999,24.559999,0
BDRY,9/7/2018,24.559999,24.559999,24.559999,24.559999,24.559999,0
BDRY,9/10/2018,24.559999,24.559999,24.559999,24.559999,24.559999,0
BDRY,9/11/2018,23.42,23.42,23.42,23.42,23.42,4400
BDRY,9/12/2018,22.639999,22.83,22.639999,22.799999,22.799999,1700
BDRY,9/13/2018,23.059999,23.059999,23.049999,23.049999,23.049999,300
BDRY,9/14/2018,22.700001,22.700001,22.700001,22.700001,22.700001,100
BDRY,9/17/2018,22.700001,22.700001,22.700001,22.700001,22.700001,0
BDRY,9/18/2018,22.700001,22.700001,22.700001,22.700001,22.700001,0
BDRY,9/19/2018,22.540001,22.540001,22.280001,22.280001,22.280001,200
BDRY,9/20/2018,22.16,22.16,22.040001,22.139999,22.139999,600
BDRY,9/21/2018,22.735001,22.735001,22.735001,22.735001,22.735001,200
BDRY,9/24/2018,22.950001,22.950001,22.950001,22.950001,22.950001,100
BDRY,9/25/2018,22.459999,22.535999,22.459999,22.535999,22.535999,300
BDRY,9/26/2018,22.629999,22.879999,22.620001,22.879999,22.879999,1000
BDRY,9/27/2018,22.879999,22.879999,22.879999,22.879999,22.879999,0
BDRY,9/28/2018,22.940001,22.940001,22.940001,22.940001,22.940001,200
BDRY,10/1/2018,22.940001,22.940001,22.940001,22.940001,22.940001,0
BDRY,10/2/2018,22.940001,22.940001,22.940001,22.940001,22.940001,0
BDRY,10/3/2018,22.940001,22.940001,22.940001,22.940001,22.940001,0
BDRY,10/4/2018,22.940001,22.940001,22.940001,22.940001,22.940001,0
BDRY,10/5/2018,21.825001,21.825001,21.825001,21.825001,21.825001,100
BDRY,10/8/2018,21.825001,21.825001,21.825001,21.825001,21.825001,0
BDRY,10/9/2018,21.360001,21.360001,21.327,21.327,21.327,700
BDRY,10/10/2018,21.327,21.327,21.327,21.327,21.327,0
BDRY,10/11/2018,22.41,22.41,22.41,22.41,22.41,100
BDRY,10/12/2018,23.200001,23.200001,22.950001,23.15,23.15,1200
BDRY,10/15/2018,22.65,22.65,22.65,22.65,22.65,200
